Segment,Country, Product , Discount Band , Units Sold , Manufacturing Price , Sale Price , Gross Sales , COGS , Profit ,Date, Month Name ,Year
Small Business,USA, Paseo , Low ," $2,918.00 ", $10.00 , $300.00 ," $875,400.00 "," $729,500.00 "," $110,884.00 ",05-01-2014, May ,2014
Government,USA, Paseo , Low ," $3,450.00 ", $10.00 , $350.00 ," $1,207,500.00 "," $897,000.00 "," $262,200.00 ",07-01-2014, July ,2014
Government,USA, Paseo , Low ," $1,056.00 ", $10.00 , $20.00 ," $21,120.00 "," $10,560.00 "," $9,715.20 ",09-01-2014, September ,2014
Midmarket,USA, Paseo , Low , $671.00 , $10.00 , $15.00 ," $10,065.00 "," $6,710.00 "," $2,952.40 ",10-01-2013, October ,2013
Government,USA, Paseo , Low , $274.00 , $10.00 , $350.00 ," $95,900.00 "," $71,240.00 "," $20,824.00 ",12-01-2014, December ,2014
Channel Partners,USA, Velo , Low ," $1,465.00 ", $120.00 , $12.00 ," $17,580.00 "," $4,395.00 "," $12,481.80 ",03-01-2014, March ,2014
Government,USA, VTT , Low , $349.00 , $250.00 , $350.00 ," $122,150.00 "," $90,740.00 "," $26,524.00 ",09-01-2013, September ,2013
Midmarket,USA, Amarilla , Low , $671.00 , $260.00 , $15.00 ," $10,065.00 "," $6,710.00 "," $2,952.40 ",10-01-2013, October ,2013
Small Business,USA, Carretera , Medium , $991.00 , $3.00 , $300.00 ," $297,300.00 "," $247,750.00 "," $34,685.00 ",06-01-2014, June ,2014
Government,USA, Carretera , Medium , $570.00 , $3.00 , $7.00 ," $3,990.00 "," $2,850.00 ", $940.50 ,12-01-2014, December ,2014
Enterprise,USA, Montana , Medium ," $3,627.00 ", $5.00 , $125.00 ," $453,375.00 "," $435,240.00 "," $(4,533.75)",07-01-2014, July ,2014
Enterprise,USA, Paseo , Medium ," $2,992.00 ", $10.00 , $125.00 ," $374,000.00 "," $359,040.00 "," $(3,740.00)",03-01-2014, March ,2014
Government,USA, Paseo , Medium ," $2,327.00 ", $10.00 , $7.00 ," $16,289.00 "," $11,635.00 "," $3,839.55 ",05-01-2014, May ,2014
Small Business,USA, Paseo , Medium , $991.00 , $10.00 , $300.00 ," $297,300.00 "," $247,750.00 "," $34,685.00 ",06-01-2014, June ,2014
Government,USA, Paseo , Medium , $602.00 , $10.00 , $350.00 ," $210,700.00 "," $156,520.00 "," $43,645.00 ",06-01-2014, June ,2014
Enterprise,USA, Paseo , Medium , $861.00 , $10.00 , $125.00 ," $107,625.00 "," $103,320.00 "," $(1,076.25)",10-01-2014, October ,2014
Government,USA, Paseo , Medium ," $2,663.00 ", $10.00 , $20.00 ," $53,260.00 "," $26,630.00 "," $23,967.00 ",12-01-2014, December ,2014
Midmarket,USA, Velo , Medium , $555.00 , $120.00 , $15.00 ," $8,325.00 "," $5,550.00 "," $2,358.75 ",01-01-2014, January ,2014
Government,USA, Velo , Medium , $602.00 , $120.00 , $350.00 ," $210,700.00 "," $156,520.00 "," $43,645.00 ",06-01-2014, June ,2014
Government,USA, Velo , Medium ," $2,832.00 ", $120.00 , $20.00 ," $56,640.00 "," $28,320.00 "," $25,488.00 ",08-01-2014, August ,2014
Government,USA, Montana , High ," $2,328.00 ", $5.00 , $7.00 ," $16,296.00 "," $11,640.00 "," $3,026.40 ",09-01-2014, September ,2014
Channel Partners,USA, Paseo , High , $386.00 , $10.00 , $12.00 ," $4,632.00 "," $1,158.00 "," $3,010.80 ",10-01-2013, October ,2013
Enterprise,USA, Carretera , High ," $3,445.50 ", $3.00 , $125.00 ," $430,687.50 "," $413,460.00 "," $(25,841.25)",04-01-2014, April ,2014
Government,USA, Montana , High ," $2,313.00 ", $5.00 , $350.00 ," $809,550.00 "," $601,380.00 "," $127,215.00 ",05-01-2014, May ,2014
Enterprise,USA, Montana , High ," $1,804.00 ", $5.00 , $125.00 ," $225,500.00 "," $216,480.00 "," $(13,530.00)",11-01-2013, November ,2013
Midmarket,USA, Velo , High , $790.00 , $120.00 , $15.00 ," $11,850.00 "," $7,900.00 "," $2,765.00 ",05-01-2014, May ,2014
Enterprise,USA, Velo , High ," $1,596.00 ", $120.00 , $125.00 ," $199,500.00 "," $191,520.00 "," $(11,970.00)",09-01-2014, September ,2014
Small Business,USA, Velo , High ," $2,294.00 ", $120.00 , $300.00 ," $688,200.00 "," $573,500.00 "," $45,880.00 ",10-01-2013, October ,2013
Government,USA, VTT , High ," $2,807.00 ", $250.00 , $350.00 ," $982,450.00 "," $729,820.00 "," $154,385.00 ",08-01-2014, August ,2014
Small Business,USA, VTT , High ," $2,294.00 ", $250.00 , $300.00 ," $688,200.00 "," $573,500.00 "," $45,880.00 ",10-01-2013, October ,2013
Enterprise,USA, Amarilla , High , $579.00 , $260.00 , $125.00 ," $72,375.00 "," $69,480.00 "," $(4,342.50)",01-01-2014, January ,2014
Small Business,USA, Amarilla , High ," $2,993.00 ", $260.00 , $300.00 ," $897,900.00 "," $748,250.00 "," $59,860.00 ",03-01-2014, March ,2014
Government,USA, VTT , High ," $1,579.00 ", $250.00 , $7.00 ," $11,053.00 "," $7,895.00 "," $1,942.17 ",03-01-2014, March ,2014
Midmarket,USA, Amarilla , High ," $3,199.50 ", $260.00 , $15.00 ," $47,992.50 "," $31,995.00 "," $10,718.32 ",07-01-2014, July ,2014
Government,USA, Paseo , High , $380.00 , $10.00 , $7.00 ," $2,660.00 "," $1,900.00 ", $467.40 ,09-01-2013, September ,2013
Midmarket,USA, Montana , High , $677.00 , $5.00 , $15.00 ," $10,155.00 "," $6,770.00 "," $2,166.40 ",03-01-2014, March ,2014
Small Business,USA, Paseo , High ," $3,495.00 ", $10.00 , $300.00 ," $1,048,500.00 "," $873,750.00 "," $48,930.00 ",01-01-2014, January ,2014
Government,USA, Velo , High , $986.00 , $120.00 , $350.00 ," $345,100.00 "," $256,360.00 "," $47,328.00 ",10-01-2014, October ,2014
Government,USA, VTT , High , $986.00 , $250.00 , $350.00 ," $345,100.00 "," $256,360.00 "," $47,328.00 ",10-01-2014, October ,2014
Enterprise,USA, VTT , High ," $2,387.00 ", $250.00 , $125.00 ," $298,375.00 "," $286,440.00 "," $(23,870.00)",11-01-2014, November ,2014
Government,USA, Amarilla , High , $270.00 , $260.00 , $350.00 ," $94,500.00 "," $70,200.00 "," $12,960.00 ",02-01-2014, February ,2014
Midmarket,USA, Amarilla , High ," $2,548.00 ", $260.00 , $15.00 ," $38,220.00 "," $25,480.00 "," $8,153.60 ",11-01-2013, November ,2013
Midmarket,USA, Carretera , High ," $2,567.00 ", $3.00 , $15.00 ," $38,505.00 "," $25,670.00 "," $7,829.35 ",06-01-2014, June ,2014
Midmarket,USA, VTT , High ," $2,567.00 ", $250.00 , $15.00 ," $38,505.00 "," $25,670.00 "," $7,829.35 ",06-01-2014, June ,2014
Government,USA, Montana , High , $982.50 , $5.00 , $350.00 ," $343,875.00 "," $255,450.00 "," $43,721.25 ",01-01-2014, January ,2014
Government,USA, Montana , High ," $1,298.00 ", $5.00 , $7.00 ," $9,086.00 "," $6,490.00 "," $1,414.82 ",02-01-2014, February ,2014
Government,USA, Paseo , High ," $1,438.50 ", $10.00 , $7.00 ," $10,069.50 "," $7,192.50 "," $1,567.96 ",01-01-2014, January ,2014
Government,USA, Paseo , High ," $2,641.00 ", $10.00 , $20.00 ," $52,820.00 "," $26,410.00 "," $19,543.40 ",02-01-2014, February ,2014
Government,USA, Carretera , High ," $1,743.00 ", $3.00 , $20.00 ," $34,860.00 "," $17,430.00 "," $12,549.60 ",05-01-2014, May ,2014
Government,USA, Carretera , High ," $2,996.00 ", $3.00 , $7.00 ," $20,972.00 "," $14,980.00 "," $3,055.92 ",10-01-2013, October ,2013
Government,USA, Montana , High ," $2,996.00 ", $5.00 , $7.00 ," $20,972.00 "," $14,980.00 "," $3,055.92 ",10-01-2013, October ,2013
Midmarket,USA, Paseo , High ," $1,767.00 ", $10.00 , $15.00 ," $26,505.00 "," $17,670.00 "," $5,124.30 ",09-01-2014, September ,2014
Channel Partners,USA, Amarilla , High ," $2,015.00 ", $260.00 , $12.00 ," $24,180.00 "," $6,045.00 "," $14,749.80 ",12-01-2013, December ,2013
Small Business,USA, Carretera , High ," $1,010.00 ", $3.00 , $300.00 ," $303,000.00 "," $252,500.00 "," $8,080.00 ",10-01-2014, October ,2014
Channel Partners,USA, Paseo , High ," $2,914.00 ", $10.00 , $12.00 ," $34,968.00 "," $8,742.00 "," $21,330.48 ",10-01-2014, October ,2014
Government,USA, Paseo , High ," $1,177.00 ", $10.00 , $350.00 ," $411,950.00 "," $306,020.00 "," $48,257.00 ",11-01-2014, November ,2014
Government,USA, Velo , High , $606.00 , $120.00 , $20.00 ," $12,120.00 "," $6,060.00 "," $4,363.20 ",04-01-2014, April ,2014
Small Business,USA, Velo , High ," $2,460.00 ", $120.00 , $300.00 ," $738,000.00 "," $615,000.00 "," $19,680.00 ",07-01-2014, July ,2014
Small Business,USA, VTT , High ," $2,541.00 ", $250.00 , $300.00 ," $762,300.00 "," $635,250.00 "," $20,328.00 ",08-01-2014, August ,2014
Small Business,USA, VTT , High ," $1,010.00 ", $250.00 , $300.00 ," $303,000.00 "," $252,500.00 "," $8,080.00 ",10-01-2014, October ,2014
Enterprise,USA, Amarilla , High ," $2,844.00 ", $260.00 , $125.00 ," $355,500.00 "," $341,280.00 "," $(35,550.00)",05-01-2014, May ,2014
Channel Partners,USA, Amarilla , High ," $2,914.00 ", $260.00 , $12.00 ," $34,968.00 "," $8,742.00 "," $21,330.48 ",10-01-2014, October ,2014
Government,USA, Paseo , High , $267.00 , $10.00 , $20.00 ," $5,340.00 "," $2,670.00 "," $1,869.00 ",10-01-2013, October ,2013
Government,USA, Paseo , High ," $2,007.00 ", $10.00 , $350.00 ," $702,450.00 "," $521,820.00 "," $75,262.50 ",11-01-2013, November ,2013
Channel Partners,USA, Paseo , High , $914.00 , $10.00 , $12.00 ," $10,968.00 "," $2,742.00 "," $6,580.80 ",12-01-2014, December ,2014
Small Business,USA, Velo , High ," $2,574.00 ", $120.00 , $300.00 ," $772,200.00 "," $643,500.00 "," $12,870.00 ",11-01-2013, November ,2013
Enterprise,USA, Velo , High ," $2,438.00 ", $120.00 , $125.00 ," $304,750.00 "," $292,560.00 "," $(33,522.50)",12-01-2013, December ,2013
